"";"logFC.D10";"logFC.D20";"logFC.D30";"logFC.D40";"logFC.D50";"logFC.D60";"logCPM";"LR";"PValue";"FDR";"logFC.D0";"module"
"Clca3b";-0,165775060600607;-0,0872194786299318;0,833867466438771;1,47599129768346;0,856169539148694;2,89773802076979;8,93683453160212;217,891273999218;2,93003598228333e-44;3,7011356956696e-42;0;2
"Zbp1";0,61491598864507;2,17036046256873;1,99436833796672;2,03006651753961;2,5213262393628;3,44977939680737;6,62804033977638;217,574844055168;3,4224264342083e-44;4,28824512163664e-42;0;1
"Trim40";0,43948574779641;1,14303656446488;1,07102898729427;1,87434504329335;1,86543568561043;3,25858755624393;5,35753636945502;214,60075240958;1,47334912278411e-43;1,83131402565574e-41;0;2
"Cd3e";0,612290808362388;4,08933936966868;5,37565360300575;5,92098718335981;6,10221353912143;7,13571866636272;2,156379151706;213,227761956668;2,89017332940644e-43;3,56385896976094e-41;0;1
"Aldh1a3";0,185306920318961;-0,260826348407707;-0,983392916921767;1,50260399294658;1,62108095721089;2,71625388819603;4,44689830358525;211,819242418186;5,76869409808788e-43;7,057338598582e-41;0;2
"Sema7a";0,0411908587897596;0,283006765953965;0,732782137519914;3,39347558196386;2,1430807749722;3,6484571795327;3,2796167794083;210,726547671689;9,86060045061471e-43;1,19690741563438e-40;0;2
"Cd6";0,629149165912413;4,65009528292472;5,96699436854485;6,0873028677365;6,73135754993439;7,42889853163506;2,07210765111172;210,655757439304;1,02090703711084e-42;1,22959942911559e-40;0;1
"Tnf";0,525857806890437;2,60172624204493;3,237464755771;4,33043295703921;4,01043150237615;5,55724529546467;2,71311964393169;207,520079689381;4,75322243432582e-42;5,68083207400925e-40;0;1
"Apol10b";0,891927911348406;3,15646435292084;2,82666667170951;2,85942618131466;4,38851951521489;4,94473028639666;3,18336247269942;205,721332161292;1,14839894937965e-41;1,36203621958104e-39;0;1
"Adgrf1";-0,0674354811124834;0,0408817610946211;0,662165146039623;1,91623622933487;1,33115822390231;3,29535442543572;3,90984144096851;204,66794929264;1,92493665916164e-41;2,26573794495412e-39;0;2
"Tnip3";0,259741798561672;0,892590331845356;1,37891999202586;2,01733510043018;1,80382557608008;2,9627355530309;6,08384326169458;203,514284203973;3,38898664636608e-41;3,95899891162329e-39;0;2
"Btnl2";0,821539317891764;4,92340314592462;5,36004963018128;5,33524950381288;6,16394337631159;6,85272582559972;2,30918421429801;203,204307887494;3,94520346421333e-41;4,57437509130467e-39;0;1
"Cd3d";1,20293439308866;4,59919411730825;5,8413007269226;6,39523819863423;6,57637568583918;7,4016174632698;2,08903242697492;202,339818422584;6,02732092984059e-41;6,93677668792098e-39;0;1
"Trac";3,1863527619935;7,01510973941572;7,44458341849493;8,22669827310411;8,47788063912119;9,25607983796714;2,02221723476686;202,013111228697;7,07421357341355e-41;8,08176884486222e-39;0;1
